"review_id","date","review","score"
5753,18-Jan-16,I love prime music. I enjoy it everyday. Thank you,1
2425,4-Sep-16,I have been playing lullabies to my new great granddaughter.She is now sound asleep.The lullabies are great.,1
7002,11-Oct-15,wont let me get any music . want to cancel,0
8534,8-Jun-15,Nice selection! Really enjoying it!,1
964,23-May-17,I really enjoy it ...,1
7748,2-Nov-15,Great music service!!,1
6161,19-Feb-16,would not use as my music player.,0
11902,13-May-17,"With Unlimited, this is now my go to music app! Spotify does have more of a wealth of playlists, but I think Amazon will continue to improve in that regard.",1
2507,24-May-17,I didn't find all the music I had purchased but I did find some.,0
4865,21-Aug-15,I love the lyrics on screen for most of the songs and being able to skip through songs with no limitations.,1
6472,29-Jan-15,I really do love this music app but it can be a little confusing to use and not all the music is free.....,1
6356,1-Oct-14,The selections are pretty good. I might give it more stars if I was able to put the songs on other devices other than my cell phone.,1
1360,12-Oct-16,"I love this benefit of Prime membership! Free music, what's not to like?! If you have the Audible app, you can also listen to free audiobooks on ""Channels"".",1
7323,29-Jan-16,Convenient.,1
3433,18-Nov-14,"Wouldn't want to be without it!!!! This app is the greatest of all the ones I own. It represents the quality and integrity of the company AMAZON. Jeff Besos had done a wonderful job in the implementation of this app and I don't think there is a more qualified person than him in running a HUGE ENTERPRISE like Amazon. He is truly to be commended for outstanding service ALL the time to each and every customer. I for one am very grateful!!!
 
 Being a Prime Member is my pleasure and enjoyment.",1
9895,13-Apr-15,LOVE it!!!,1
3958,4-Mar-16,Could use some more variety and play lists tailored to fans of metal and harder rock music.,0
8608,2-Oct-15,best ever,1
10165,29-Mar-15,Good,1
5765,9-Jul-15,love the available free music! I use Amazon music with Prime music as my iTunes on my ipad.,1
2055,13-Oct-11,"This is an excellent music player, and does well whether it is feeding from the cloud or from your local device. It could use the ability to backup an on-device playlist to the cloud, and download a cloud playlist to the phone or tablet, resolving it to music already on the device. It's a real problem when you create a playlist of songs, and if the device goes through a major reset of some kind that clears the media database, then the playlist is lost forever and needs to be recreated.",1
9052,30-Mar-15,Love it. Another great part of prime.,1
2474,16-Jul-15,Nice,1
