"review_id","date","review","score"
525,21-Mar-16,"Love the app, mine stopped working after a recent update. I deleted the old app reinstalled and now it is stable and working great",1
10189,29-Dec-14,Radio that tries to find music I like! Nice.,1
15203,19-Dec-12,"Really the best radio station out there. I like all the indie stuff, and how it customizes your stations for you",1
17538,27-Jun-14,"I think the app is great. My only complaint about Pandora is that you can't pick specific song's or artists that you want to hear, they just match you up to song's similar to the song and artist of your choosing, which can be frustrating but it's better than the radio for background music and I knew what I was getting so I still gave a 5 star rating.",1
18910,14-Apr-12,As the title said its ok. its only good because it has free songs. but it didn't let me choose which songs I wanted. and the commercials are really annoying! I suggest songify,0
18742,25-Dec-11,"This app is quite helpful when you're looking for ne music for your ipod but recently, it has just been flooded with commercials . When I'm. at home and just wanting to listen to music, it can be annoying.",1
5972,27-Feb-16,It's Great!!!,1
4457,28-Apr-14,I hate this app because it won't let me sign in. It said it didn't recognize my password or email.,0
17170,24-Jan-14,"love all the music, the artist, and such on this app! you can listen to pretty much anything you want! love it",1
17761,8-May-12,"Panodora is a really great app and plays po the music I want, but my advice to you would be not to ""like"" the songs you like, because it takes it seriously plays that song over and over again. I promise that if you listen to the song area times it will recognize that you like it and play it more frequently. It never plays the songs that you dislike ,though, and that's always a good thing:)",1
3603,15-Sep-15,"not much control as to what I am listening to.. but for a free APP, I should not complain!",0
12398,13-Feb-15,love it,1
14149,19-Feb-13,I love this app it is fun to go and have my music on my kindle fire where I can take it anywhere.,1
6684,28-Feb-16,I didn't like it.,0
4063,7-Oct-15,I love being able to listen to music from my computer. Pandora is wonderful!,1
2537,11-May-15,I loved this app until they started advertising LGBT garbage in the commercials. Uninstalled and removed from library. thanks but no thanks.,0
3769,20-Nov-15,I truly enjoy listening to Pandora especially when I'm riding do the road,1
1915,25-Jan-14,"I'm a huge Pandora fan and I love that Pandora has many formats and readily available apps. Even of you have the free version with commercials, they are honestly not that intrusive because they are few and far between I highly recommend this app.",1
4331,16-Jan-16,Loads but won't play music. Don't waste your time.,0
14558,23-Aug-13,ok,0
7504,28-Mar-13,"Pandora is a great app because it provides a mix of music tailored to the listener. No need to have a library of CDs, make playlists, or memory for storage. It just streams preferred music",1
5458,8-Jul-13,I sincerely appreciate the quick response and remedy to my problem.....Amazon recommended to contact the Pandora support team and provided the address...I was plesantly surprised to get such a quick response.,1
9161,23-Dec-13,It is a good app when the same ol songs on your device get old. So you should get it for the times you want good music varity,1
17883,20-Oct-16,love it,1
