"review_id","date","review","score"
1274,7-Oct-15,I like it a lot,1
4249,1-Aug-16,"Downloaded app. After about a few hours started receiving pop ups asking me to subscript for a monthly fee, I thought this was a free station???",0
4514,17-May-17,____________________,1
3047,22-Sep-14,Amazing app. Best music app out there,1
3970,24-Jun-14,Spotify is easy to use for searching and listening to music. I love making different playlists from the oldies music to the present. Thanks for making it to use for a tablet.,1
1763,31-Aug-15,I like it!,1
721,17-Aug-14,I love the site. I love the music variety. its awesome! I would gladly. recommend it to anyone and everyone.,1
5965,8-Jul-16,I have the best music from 70s to now build your playlists and follow your favorites and discover the best music you can ever find using all the smart radios and recommended playlists. Well worth the ten a month to have unlimited music at your fingertips and saved to your library for listening on the go.,1
3582,26-Sep-14,Yes. Amazing.,1
3786,7-Mar-16,"Was a Rhapsody customer for years but the playback experience would only get worse & worse until the point of being unbearable when it wouldn't even playback my downloaded songs so I looked for a replacement & came across Spotify when introduced through Sprint and have never looked back. Far superior product, zero playback issues & they had AC/DC songs which Rhapsody did not. How do you not have one of the greatest rock bands of all time??",1
2965,1-Mar-15,Easy to use,1
497,12-Mar-16,Love it. More songs,1
3210,2-Jan-15,I'm loving it,1
6151,17-Sep-17,Too many ads,0
6308,7-Apr-17,Excellent,1
524,1-Nov-15,Is great you just need wifi,1
35,28-Dec-15,Great enjoy listening to,1
7014,25-Jul-17,"My daughter uses this and has no complaints, she says it works fine.",1
6734,17-Jun-17,"Because of Spotify, I will never use Pandora again. Spotify is great, because it allows you to build your own playlist(s) and you're not forced to listen to songs that really don't suit your mood. I have Spotify on all of my devices.",1
105,2-Nov-14,This app is a great app I love listening to all of my favorite music on it.It is way better than pandora!!!!,1
4744,28-Jan-17,I spent a fortune on Amazon and then my Son told me about SPOTIFY...couldn't be happier! Thanx!,1
5642,31-Jul-17,I love Spotify. I have a few playlists downloaded to my fire for bus rides. I love that it will play in the background while I read a book.,1
2321,15-Feb-15,"Excellent app, plenty of music.",1
507,31-Jul-14,It is a good app and i think everyone should get it. U can create ur own play list and put as many songs u want on it.,1
6610,28-Jul-17,Nice selection of country music,1
5955,29-Aug-17,"I like the suggestions feature of Spotify, it has exposed me to music that otherwise I would have not ever listened to. However, their selection is not even close to include all genres and artists",0
3277,14-Dec-14,Nice very nice,1
6948,12-Jan-17,Excellent!!!! I can listen all my fav songs,1
2054,26-Jul-15,Loving it,1
719,10-Jan-15,"Best music app I've ever had! Beats Pandora, ITunes, and slacker radio hands down!",1
1314,22-Nov-14,I would love to have access to a larger library but other than that flawless!,1
5968,21-Oct-15,"Spotify is an amazing app that is easy to use and premium is the best, because you can save songs with wifi and later you can view them when your not connected to wifi or data. Spotify is a great music app for all music lovers. It is very easy to personalise and save songs to your play lists. Highly recommend.",1
4033,15-Mar-17,I can listen to all my favorite music for free,1
5294,15-Mar-17,Great for discovering new music. Does have ads but they are not overwhelming.,1
716,12-Jan-16,love it,1
2754,30-Dec-14,I just wish it was free lol,0
5621,22-Dec-16,"I was very skeptical at first, I mean... Free music, really? But it's great! You have a unexplainably large selection of artists, albums, titles, and custom made stations and playlists. You can even make your own playlists! The only down side, and it is very, very minor, is the advertisements. You get an add after every 5-8 songs, which believe me, it's totally worth it! I highly recommend this app!",1
2113,1-Aug-15,solid!,1
6228,20-Aug-17,"Very rapid download,",1
5927,17-Apr-15,"A friend at work turned me into this. Amazing free app! Love the genres it offers. Has me listening to artists I've never heard of and loving them. If you like most types of music this is a great app. If you're a fan whose open to new listening experiences, you'll find it so valuable you'll want to install it on every device you have and never be without one so you can listen all the time!!",1
5445,21-Jun-17,Why did I wait so long to try Spotify? The current 99 cents for 3 months deal pushed me over the edge. I may not be able to look back. The app works great on my Android phone and Kindle. But where it really shines is on my Echo.,1
1628,18-Sep-14,"I'm no illustrious author, but if you love music, this is the best app out there.",1
4328,19-Jan-16,Spotify won't let me register I have tried at least 20 times but it won't let me register I would give it zero stars but I can't.,0
6407,27-Apr-16,"I've had many music apps pandora, musify, music downloader, iTunes:( but spotify is by far the best one ever lots of stations, artists, every song I've ever looked up! Plus you get to create your own playlists!!!",1
5778,4-Jul-16,They have so many playlists with a variety of different types of music. I am being exposed to so many different great artist that I never knew existed. The music is awesome and the app itself is very easy to use.,1
5001,23-Apr-17,"Idk I only like Spotify because of how much music they have, that's an ok amount.. There's way to many ads and they're too long, this isn't TV, these aren't commercial break.. these ads don't need to be 4 mins long.. For a few 3 minute songs.. That's horrible, Spotify makes me wanna Kermit __",0
6097,16-Feb-16,It has a wide range of music for all ages and tastes.,1
3554,12-Sep-14,Greatest app ever,1
